Nome: PORANGATU,,,,,,,,,,,,
Codigo Estacao: A005,,,,,,,,,,,,
Latitude: -13.30944444,,,,,,,,,,,,
Longitude: -49.11749999,,,,,,,,,,,,
Altitude: 365,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,21,347,969,556346,25,797324,6,4,1,150602,null,null
2020-02-29,18,174,6,970,178542,25,893591,4,6,1,54317,
2020-03-31,20,172,4,969,986336,25,604533,4,4,,91297,
2020-04-30,11,112,6,970,989191,26,207651,4,2,,857518,
2020-05-31,3,7,972,152957,25,993145,4,4,1,81317,,
2020-06-30,0,0,972,7275,25,532778,4,8,1,241528,,
2020-07-31,null,null,null,null,3,9,null,,,,,
2020-08-31,null,null,null,null,null,null,,,,,,
2020-09-30,null,null,null,null,null,null,,,,,,
2020-10-31,null,null,null,null,null,null,,,,,,
2020-11-30,null,null,null,null,null,null,,,,,,
2020-12-31,null,null,null,null,null,null,,,,,,
