Nome: ITAPACI,,,,,,,,,,,,
Codigo Estacao: A015,,,,,,,,,,,,
Latitude: -14.97972221,,,,,,,,,,,,
Longitude: -49.53999999,,,,,,,,,,,,
Altitude: 551.16,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,22,461,2,949,59086,24,768683,null,null,null,null,null
2020-02-29,17,336,4,950,507327,24,710201,null,null,,,
2020-03-31,20,301,6,950,28078,24,525134,null,null,,,
2020-04-30,14,199,8,951,640972,24,16125,null,null,,,
2020-05-31,11,65,6,953,48118,21,933064,null,null,,,
2020-06-30,1,,2,953,640972,21,75556,null,null,,,
2020-07-31,0,0,953,427688,20,574059,null,null,,,,
2020-08-31,0,0,952,578226,22,702151,null,null,,,,
2020-09-30,2,25,6,951,39444,25,176806,null,null,,,
2020-10-31,10,97,2,949,104704,26,167876,null,null,,,
2020-11-30,15,194,8,949,457361,24,886806,null,null,,,
2020-12-31,15,184,8,949,308199,25,46774,null,null,,,
