Nome: GURUPI,,,,,,,,,,,,
Codigo Estacao: A019,,,,,,,,,,,,
Latitude: -11.74583333,,,,,,,,,,,,
Longitude: -49.04972221,,,,,,,,,,,,
Altitude: 279.07,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,22,321,2,979,577957,26,175941,5,6,1,116801,null
2020-02-29,18,267,4,980,69684,26,3161,5,2,,905603,
2020-03-31,20,250,6,979,907182,25,646243,5,7,,733631,
2020-04-30,13,null,980,711415,26,583144,4,9,,671139,,
2020-05-31,null,null,null,null,4,4,null,,,,,
2020-06-30,null,null,null,null,4,5,null,,,,,
2020-07-31,null,null,null,null,null,null,,,,,,
2020-08-31,null,null,null,null,null,null,,,,,,
2020-09-30,null,null,null,null,null,null,,,,,,
2020-10-31,null,null,null,null,null,null,,,,,,
2020-11-30,null,null,null,null,null,null,,,,,,
2020-12-31,null,null,null,null,6,4,null,,,,,
