Nome: PALMAS,,,,,,,,,,,,
Codigo Estacao: A009,,,,,,,,,,,,
Latitude: -10.19083333,,,,,,,,,,,,
Longitude: -48.30194444,,,,,,,,,,,,
Altitude: 291.87,,,,,,,,,,,,
Situacao: Operante,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,20,null,978,894421,26,43351,6,8,1,192883,,null
2020-02-29,18,null,979,169795,26,708903,5,9,,997939,,
2020-03-31,23,163,2,978,733747,26,482886,5,6,,752684,
2020-04-30,17,323,979,425694,26,944861,5,9,,858889,,
2020-05-31,8,88,4,980,28965,27,515188,7,3,1,131855,
2020-06-30,0,0,980,700833,27,496111,7,2,1,654167,,
2020-07-31,0,0,980,392608,27,426344,8,3,2,130645,,
2020-08-31,0,0,979,527554,29,225806,8,8,2,206586,,
2020-09-30,1,1,978,276566,31,284129,9,1,2,302626,,
2020-10-31,13,123,4,977,123966,29,47034,7,4,,944296,
2020-11-30,12,93,977,449564,28,23848,8,1,351789,,,
2020-12-31,16,167,4,977,483502,27,313361,8,7,1,3757,
